ID	subchondral.bone.operation.2.weeks.postsurgeryvssubchondral.bone.sham.operation.2.weeks.postsurgery_logFC	subchondral.bone.operation.2.weeks.postsurgeryvssubchondral.bone.sham.operation.2.weeks.postsurgery_padjFilter
A1bg	0.0117056904436703	NA
A1cf	0.0666484830297609	NA
A2m	0.259397821196115	0.723913209776528
A2ml1	0.0814951982939789	NA
A3galt2	0.32448268673521	0.0434789538659829
A4galt	-0.0656801882468185	NA
A4gnt	0.0514468104094981	0.502077802652025
AA926063	-0.350685471613606	0.278621441871231
Aaas	-0.646072928443932	0.00503851194703982
Aacs	-0.123930799961204	0.706458918567749
Aadac	0.0533837703273496	NA
Aadacl2	0.0271263208884722	NA
Aadacl3	-0.380274280399639	0.275502483037384
Aadat	-0.0359729262652833	NA
Aagab	0.115227922887894	0.39917694040195
Aak1	0.0200367193449251	NA
Aamdc	-0.294039281128519	0.026184013424224
Aamp	0.152658742212639	0.488171675254647
Aanat	-0.883285941980624	0.0873715309575154
Aar2	0.633324721585706	0.00471912525282017
Aard	0.487799792470599	0.0234754458306468
Aars	-0.221861761643186	0.267410868708518
Aars2	0.0472852491351814	0.625576559721615
Aarsd1	0.157526395291071	0.200281972749406
Aasdh	0.194887424530524	0.443342692036146
Aasdhppt	0.444085594198043	0.0482234333622816
Aass	-0.112164393865959	0.500087365149372
Aatf	0.407660425013988	0.0162724357353856
Aatk	-0.0315458384307039	0.670918560404539
Abat	0.0503951891809402	0.901062651837331
Abca1	0.121614971031059	0.599308934390181
Abca12	-0.0325974631759234	NA
Abca13	0.208501716998364	0.0662560362017965
Abca15	0.002985439580101	NA
Abca17	0.0584186513529126	NA
Abca2	0.327809701362812	0.115225443975343
Abca3	-0.988850489787244	0.00175148652506515
Abca4	0.885085742125353	0.219521616789248
Abca5	0.00249889115591451	NA
Abca6	0.0006993993262423	NA
Abca7	-0.336607634394641	0.253176196212162
Abca9	-0.0163926789141886	NA
Abcb10	-0.387770063639263	0.0439557549470977
Abcb11	0.0187653787900643	0.84243272551388
Abcb1a	-0.00479280530411774	NA
Abcb1b	0.312506594283489	0.0188806013848961
Abcb4	-0.415278707609691	0.0535785269645748
Abcb5	-0.0539367027716899	NA
Abcb6	-0.206249843027766	0.43286681956886
Abcb7	0.164329073245007	0.341531088075104
Abcb8	-0.216037777646681	0.162054655327852
Abcb9	-0.252370671914576	0.0332067591670355
Abcc1	0.110486612489906	0.665063149132362
Abcc10	-0.173024668045517	0.286859850359604
Abcc12	-0.0745162704817997	NA
Abcc2	0.291721582819786	0.01174769246761
Abcc3	0.129926359201779	0.568961813588939
Abcc4	-0.0717570932727476	0.464196702137006
Abcc5	0.0691925329753307	0.855405883280439
Abcc6	-0.173586440683689	0.0407033957340106
Abcc8	-0.031904814194017	NA
Abcc9	0.235125309901234	0.199948344308046
Abcd1	-0.288281568649385	0.0400768715039758
Abcd2	0.467368925977265	0.156433689672236
Abcd3	0.301488546356159	0.0380006158865254
Abce1	-0.406198764429043	0.173341853548998
Abcf1	-0.226952211972362	0.0353544144267186
Abcf2	0.183043847392708	0.0688364277429574
Abcf3	-0.1015572916544	0.627982413366419
Abcg1	0.414861065039705	0.13861647246282
Abcg2	-0.153125588244281	0.653970533026473
Abcg3l1	0.569105018945066	0.00938345588086845
Abcg3l2	-0.0860891284345211	0.704294632622648
Abcg3l3	0.0416284360830295	0.767000081337212
Abcg3l4	0.0534555225672779	NA
Abcg4	0.0320623605032955	0.64317234175004
Abcg5	-0.0153013307161451	NA
Abcg8	-0.0249011337546925	NA
Abhd1	0.158059313453624	0.106593193772094
Abhd10	0.210271313352024	0.112508231610214
Abhd12	-0.055820225813509	0.794109200894279
Abhd12b	0.00309791772263335	0.985164748228837
Abhd13	0.274783720667257	0.0275114706435471
Abhd14a	0.389441657029163	0.0920631525938418
Abhd14b	-0.0039261304372662	0.985186414604492
Abhd15	0.173907735331338	0.0573395712063103
Abhd16a	0.539499189112071	0.0800684922245672
Abhd16b	0.145442558141928	NA
Abhd17a	-0.40680185781836	0.017696207717267
Abhd17b	0.261599055756546	0.0618839114002651
Abhd17c	-0.0329449490367395	0.912854769250468
Abhd18	0.119856191224835	0.474985956306775
Abhd2	0.15605628427592	0.0507811570771871
Abhd3	-0.129605928535186	0.103835139629518
Abhd4	-0.261941996963438	0.133492237798204
Abhd5	0.177621851447022	0.276561600184515
Abhd6	0.0503746071988358	0.76979912004238
Abi1	-0.197723158868273	0.201642844926851
Abi2	0.0840103894678812	0.419304235805395
Abi3	-0.486029809022408	0.177098074474257
Abi3bp	0.905055805139348	0.0078076676662093
Abitram	0.102705476309158	0.247690133840764
Abl1	0.0561501675453044	0.520624970314703
Abl2	-0.35705245972744	0.0403643601570414
Ablim2	0.0909628155729258	0.445017530112542
Ablim3	0.198076135031523	0.134248981592799
Abo	0.0264126859814073	0.912635690186522
Abo3	-0.00654404810920362	0.938173846037243
Abr	-0.103766549892411	0.526471728212993
Abra	-0.132299883131757	0.568877684981566
Abraxas1	0.365565260453814	0.0396588538470235
Abraxas2	-0.04888231323367	0.51364804362532
Abt1	0.00563871603436361	0.974287058376265
Abtb1	-0.749081313721273	0.0295834073516606
Abtb2	0.389245417947947	0.00299788417963891
Acaa1a	-0.0592948968667724	0.79084247011406
Acaa1b	0.0477163243901959	NA
Acaa2	-0.0314358779218882	0.918655668310381
Acaca	-0.924853241533436	0.0501150841644886
Acacb	-0.070012714700276	NA
Acad10	0.226281958648295	0.516974217511803
Acad11	0.29415069090809	0.153128200221469
Acad8	-0.00532153865942231	NA
Acad9	0.186478780434328	0.0747835411089676
Acadl	0.252171658242091	0.0500542021755699
Acadm	0.251769222230026	0.0135788627894066
Acads	0.365639078555867	0.0487788738726455
Acadsb	0.809242929434703	0.10160669482456
Acadvl	0.325514831528299	0.00502273550064702
Acan	0.902090982233513	0.0442924465622209
Acap1	0.00898784188692581	0.984020584942206
Acap3	0.150760138798956	0.274119718777412
Acat1	0.193962620121038	0.201955878267068
Acat2	0.237540074400692	0.0342504302715345
Acbd3	0.149210381552614	0.220476562341543
Acbd4	0.0858006944378236	0.534040157042772
Acbd5	0.203660852917266	0.056059309784648
Acbd6	0.109728257088619	0.48451805124068
Acbd7	0.0780769407219131	0.448126824576571
Accs	0.161181207499954	0.413692134606796
Accsl	-0.111090583441143	0.165256740126688
Acd	-0.0885966149849011	0.434681541868121
Ace	0.0623437463068921	0.541634345535321
Ace2	0.00854843118155291	NA
Acer1	-0.0426732531918033	0.75785247872172
Acer2	0.205414525592824	0.0672254602187878
Acer3	0.0719526546157248	0.700133237148743
Ache	-0.597830707128601	0.0225090382453223
Acin1	-0.384128798775014	0.0275038828292726
Ackr2	-0.0964104477563206	0.480256544160284
Ackr3	0.629960260107576	0.0148377834516084
Ackr4	0.101439708241325	0.655775639410897
Acly	0.39420805337048	0.0170034562573777
Acmsd	0.0101849977272757	NA
Aco1	0.34482314086052	0.0355795473579709
Aco2	-0.479575244618125	0.00809884505174216
Acod1	0.0943790785656002	0.780229141463647
Acot1	0.338562043674098	0.028008838524291
Acot12	-0.108438469093401	0.192897378702363
Acot13	0.368488238071802	0.0642524714648423
Acot2	0.147927422530625	0.561752806659756
Acot3	0.152447789314849	0.20869075039308
Acot4	-0.0169395720762662	NA
Acot5	-0.273585724204604	0.0669643862560932
Acot7	0.102316260290394	0.432532509472177
Acot8	-0.232794108813343	0.153654593344747
Acot9	0.156561874025698	0.197325683057689
Acox1	0.447527454076026	0.00513497489857438
Acox2	0.00369139403156193	0.971043953955667
Acox3	0.10500246822825	NA
Acoxl	0.0161535069346233	NA
Acp1	-0.118265613804713	0.493130530956456
Acp2	-0.204085685821834	0.191509234724959
Acp4	0.00646756482767685	0.940017105119354
Acp5	0.631216017295946	0.191004933924156
Acp6	-0.112003759022382	0.389530047541269
Acpp	-0.314387474805375	0.028008838524291
Acr	-1.5531870757965	0.081407856345899
Acrbp	0.276303285418946	0.37860508140436
Acrv1	-0.19051611816612	0.0740950063209793
Acsbg1	0.672753145966889	0.0812568115108298
Acsbg2	0.0220656205539269	NA
Acsf3	0.319232100001845	0.161661991474593
Acsl1	-0.0396261532868323	0.858888498882415
Acsl3	0.661305156225408	0.00386822359771465
Acsl4	0.284161297077816	0.0338538097651657
Acsl5	-0.00635353856437071	0.971103187132325
Acsl6	0.0525642440365788	0.466449446328497
Acsm1	0.0292364092593704	NA
Acsm2	-0.174468837090832	0.191504164229772
Acsm3	0.12582810516429	NA
Acsm4	-0.0714149902182646	NA
Acsm5	-0.0942945348199604	0.359889978046745
Acss1	0.118041226423593	0.465122268672305
Acss2	0.350878539111496	0.00571906781139258
Acss3	-0.00704775870215002	NA
Acta1	-1.23484386958818	0.0531125999526217
Actb	0.145117450391488	0.573955979340812
Actbl2	0.788481888698857	0.0178164613587196
Actc1	-0.0825085950574813	0.505798863942252
Actg1	-0.160281373008305	0.340175793678967
Actg2	-0.0193771798403404	0.950114314605185
Actl11	-0.00909373491604359	NA
Actl6a	0.119046306873789	0.133957416762942
Actl6b	1.45616289858978	0.300291623751694
Actl7a	-1.37869965602668	0.012765189774021
Actl7b	-0.111831868349403	0.234476609440677
Actl9	-0.0271281973524227	0.768940031394551
Actl9b	-0.00883656243152764	NA
Actn1	-0.692149645803388	0.00310555574179666
Actn2	-0.100253757802898	0.260856566315459
Actn3	-2.21808225540377	0.0413877855707931
Actn4	-0.556495666691848	0.217394998296423
Actr10	0.330252227810556	0.0176305460746769
Actr1a	0.0276768090489039	0.814771386271802
Actr1b	0.0523874373891546	0.562084613744464
Actr2	0.0399025337979584	0.893777237838458
Actr3	0.394488926760268	0.0127167093263092
Actr3b	0.0490132824183096	NA
Actr5	0.202578261103356	0.0398358093177579
Actr6	0.636979407909724	0.00173245712485458
Actrt1	-0.047975573491005	NA
Actrt2	0.864213778955481	0.00307466532961424
Actrt3	0.0823776489363048	0.535558585205285
Acvr1	0.133303641883531	0.12437969336477
Acvr1b	0.00139235912041435	0.991239076945946
Acvr1c	0.0587209184019777	NA
Acvr2a	0.0366687050288315	NA
Acvr2b	0.0835656120450405	0.333288744891344
Acvrl1	-0.00352093847868318	0.991239076945946
Acy1	0.037438742581049	0.799318424852944
Acy3	0.332084982917298	0.0825324056674419
Acyp1	-0.594816973752319	0.136437983441237
Ada	-0.0360773256049125	0.80669799346033
Adad1	0.0354638496619959	NA
Adad2	0.0704780923452031	0.696800516543877
Adal	0.0769641387135884	0.284133321020155
Adam10	-0.0141077808057011	0.944744954285467
Adam11	0.0797133116658912	NA
Adam15	0.215533943531813	0.296971090088691
Adam17	0.234929939655641	0.0566574399115161
Adam18	-0.0385187816173378	NA
Adam19	-0.0418400069321656	0.620967405597952
Adam1a	0.308727745449985	0.180319631175374
Adam2	0.0629294325265759	NA
Adam20	-0.0993171068717151	NA
Adam23	-0.0221663275406705	0.795821296723771
Adam24	-0.0531651688476362	NA
Adam26a	-0.0214252906181578	0.84806117741082
Adam28	-0.141229218861144	NA
Adam30	0.181147885778019	0.06544520291218
Adam32	-0.238593058734407	0.0484595662889227
Adam34	0.0213923474045696	NA
Adam3a	-0.0453246175913895	NA
Adam4	0.110067025313249	0.210644416895098
Adam5	-0.0434380977057556	0.584422094631175
Adam6a	0.0138841392903748	0.908655957390925
Adam7	-0.123694008613499	0.271170201011109
Adam8	-0.0482498952196995	0.805156363098459
Adam9	0.281279356363782	0.0118749455530484
Adamdec1	0.0601325945450935	NA
