ID	X4.wks.post.surgery_treatedvsX4.wks.post.surgery_untreated_logFC	X4.wks.post.surgery_treatedvsX4.wks.post.surgery_untreated_padjFilter
Best1	0.0663666023868217	NA
LOC382513	-0.00921884982185794	NA
1500011K16Rik	-0.207800487018268	0.276525083236217
Cradd	0.0190380298147312	NA
Rcan2	0.0912748816412705	0.354192246161474
scl0002023.1_27	-0.00963609211377481	NA
Mfap3l	0.172565257171843	0.127104983922781
LOC380654	0.0746915475167498	NA
Parl	0.0984808643776329	0.787055973863866
EG665509	0.366120052021911	0.095312224227014
Tcerg1l	-0.0388017714136488	NA
1600021P15Rik	-0.0548673401070756	NA
LOC231444	-0.0144559312943358	NA
Strap	0.0130940884851452	0.960942683067006
Lman1	0.018374732872724	0.8982359201464
LOC232890	0.0258206015241367	0.850816212738487
2310045L10Rik	0.0665883679698682	NA
D430018P08	-0.0897318136969716	NA
Slc6a13	0.0643203737692035	NA
Zkscan5	-0.0308183827708817	0.748032606920015
4732496O08Rik	0.0679041402219296	NA
Gcc2	-0.111094730525417	0.340734130578956
LOC383811	0.00920003634923638	NA
9330137I11Rik	-0.0353006884448401	NA
Rftn2	-0.00975442384057956	0.96939882934164
LOC385110	0.0604762657797959	NA
3110001O07Rik	-0.0280982941036045	0.779353669658606
1700041I07Rik	-0.0183994162782817	NA
9030018K07Rik	0.021627653756279	NA
LOC245147	-0.0420242779954387	NA
A630046I07Rik	-0.110285161161286	NA
Map3k7ip3	0.0405976425949479	NA
Elac2	-0.0486942654553824	NA
LOC239370	-0.0173100678818194	NA
LOC100045940	0.065368060660977	NA
Fank1	0.0397819425572941	NA
LOC380688	-0.0222614953911844	NA
Ptpn2	0.052412073332099	0.568604220712747
Atp8a1	0.151498825704189	NA
A030014E15Rik	-0.0662940829618925	NA
Mapk13	0.0817896375795613	NA
Snx33	-0.0931984625802214	NA
Gpr84	0.0252627825608682	NA
Ampd3	0.00476108045975909	0.985537577315255
Hba-a1	0.383501265752997	0.404497812896725
Kras	-0.115983956007151	0.455485984645016
Rasef	-0.0133131928402639	NA
Prss23	0.012596815169208	NA
Hsd17b11	0.0561716516669781	NA
AI987712	-0.0268063275187105	NA
Cd300e	-0.0552102125566414	NA
Tgif1	-0.0962453477563514	0.340303725541119
Prnpip1	-0.113526794622672	0.153686828281829
Msmb	-0.00251479822762857	NA
LOC383750	-0.0124845491991206	NA
Ptf1a	0.0406393271259224	NA
5330430C04Rik	-0.0322560230253179	NA
Rhoip3-pending	0.0298603100503403	0.820477861125417
Fgd6	0.0681159113273013	NA
Hgd	-0.0134598249208313	NA
Elavl4	0.0308703974938132	NA
LOC100048316	0.0185297492596836	NA
Mab21l1	0.014618818298656	NA
LOC630242	-0.111406037923216	NA
Sdccag3	0.196866003508155	0.10079973044715
Olfr545	0.0382471262167154	NA
LOC545750	-0.0500456653505781	NA
A430106P18Rik	0.0055797773750923	NA
B230112I24Rik	-0.0530124846568807	NA
IGKV4-75_AJ231227_Ig_kappa_variable_4-75_15	0.0756068373525425	NA
4930511I11Rik	0.0797508705460919	NA
Mmab	0.057192385654055	NA
H13	-0.119008646589922	0.183242280823835
Mrc2	-0.0958236830138457	0.505792054343327
Synj2	0.06391078944496	NA
Kif18a	0.0780582139207926	NA
LOC384920	-0.04532402381954	NA
9330162L04Rik	-0.0323825497088945	NA
Pou3f3	0.0548198649288292	NA
Plekhk1	0.0119323621074692	NA
C530038F07Rik	-0.11880265583811	0.452864889302547
Pla2g2e	0.122735876785192	NA
LOC277927	0.0124922409961998	NA
D830048B13Rik	0.124188211337867	0.552707052279551
Ror1	-0.0128349740694	NA
LOC223263	-0.0493660472130211	NA
Tgif2	-0.0123327934264665	NA
2610528H13Rik	-0.0198813929099817	NA
Ugt1a6a	-0.0629358838279952	NA
Ptprc	0.170131965373424	0.196034211209443
Lrig2	0.0197506064927371	0.86235344948148
Rnf24	0.00200490465764247	NA
Fer1l3	0.13709070659719	0.542585564631279
4930556L07Rik	-0.00684361180638415	NA
Rybp	0.0509948422235649	0.673552675004826
9630050A07Rik	-0.106604339042874	NA
Glrx3	-0.00874179113472717	NA
LOC381754	0.0952315067130423	NA
Zbtb26	-0.186654669280908	0.115853170645403
Adh5	-0.0453001706336797	NA
Pitpnm3	-0.030155763630769	NA
